atm,18
be,17
bank,9
touch,7
use,7
card,6
press,6
cash,6
number,5
checking,5
receipt,5
way,4
account,4
amount,4
transaction,4
network,3
processing,3
fee,3
pin,3
screen,3
balance,3
fraud,3
withdraw,3
include,3
car,2
machine,2
savings,2
money,2
type,2
slot,2
hand,2
checkbook,2
transfer,2
typing,2
station,2
store,2
day,2
know,2
website,1
child,1
face,1
diagram,1
direction,1
Select,1
language,1
U.S.,1
choice,1
English,1
Spanish,1
identification,1
menu,1
example,1
increment,1
corner,1
message,1
idea,1
wallet,1
chance,1
business,1
hour,1
problem,1
opportunity,1
deposit,1
feature,1
walk,1
track,1
tax,1
purpose,1
one,1
shoulder,1
airport,1
bus,1
train,1
person,1
keypad,1
camera,1
thief,1
video,1
surveillance,1
area,1
night,1
visit,1
time,1
week,1
gas,1
grocery,1
convenience,1
kiosk,1
reading,1
device,1
outside,1
theft,1
enable,1
perform,1
have,1
indicate,1
own,1
connect,1
operate,1
access,1
make,1
denominate,1
convert,1
identify,1
insert,1
enter,1
match,1
issue,1
accord,1
install,1
decline,1
